Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr3	ENSG00000271643	RP11-10C24.3	33837180	33838442	1263	0.379	1.3	0.229981368	0.471278448
chr12	ENSG00000271614	LINC00936	90102736	90106367	3632	-0.278	0.825	0.403350419	0.643986223
chr6	ENSG00000271581	XXbac-BPG248L24.12	31324424	31325414	991	-1.822	0.283	2.10E-08	5.35E-07
chrX	ENSG00000271533	RP3-368A4.6	73429811	73433495	3685	-0.036	0.975	0.92454981	0.96802259
chr7	ENSG00000271529	CICP14	128296016	128298845	2732	1.362	2.57	2.25E-06	4.12E-05
chr2	ENSG00000271452	RP11-342K6.2	75897115	75897580	466	-0.356	0.782	0.243668344	0.486741517
chrX	ENSG00000271430	RP3-368A4.5	73420064	73461983	3897	-0.008	0.994	0.97945252	0.993029963
chr1	ENSG00000271380	RP11-307C12.12	154934301	154935099	799	-0.412	0.752	0.102868077	0.283996078
chr4	ENSG00000271359	RP11-84C13.1	90032651	90033519	686	-0.03	0.98	0.933174255	0.972425163
chr20	ENSG00000271303	SRXN1	627259	634014	2698	0.18	1.133	0.313799135	0.560997023
chr3	ENSG00000271270	TMCC1-AS1	129612714	129637418	4623	0.101	1.073	0.765404418	0.892492307
chr6	ENSG00000271218	RP3-523E19.2	53783772	53785586	456	0.494	1.408	0.112052343	0.300831976
chr9	ENSG00000271155	RP11-435O5.5	98268517	98269918	1402	0.229	1.172	0.477245735	0.705729043
chrX	ENSG00000271147	RP4-769N13.6	101854440	101969599	2711	-0.257	0.837	0.323807408	0.570667244
chr7	ENSG00000271133	CTA-293F17.1	20367922	20371370	896	-0.052	0.964	0.86680358	0.943383074
chr7	ENSG00000271122	RP11-379H18.1	35734824	35739023	4200	-0.071	0.952	0.730690197	0.875614298
chr1	ENSG00000271092	TMEM56-RWDD3	95583479	95712781	1961	-0.139	0.908	0.541770028	0.755739366
chr12	ENSG00000271090	AC012531.23	54350318	54352745	2428	-11.507	0	1.53E-14	7.71E-13
chr5	ENSG00000271043	MTRNR2L2	79945819	79946855	1037	-0.129	0.914	0.644617591	0.825810174
chr3	ENSG00000270959	LPP-AS2	187868994	187871845	2852	0.007	1.005	0.981953428	0.994352735
chr7	ENSG00000270953	RP11-2E11.9	130147501	130148123	623	0.44	1.357	0.092081187	0.264829492
chr15	ENSG00000270919	RP11-379K22.3	80872370	80872907	538	0.462	1.377	0.217422965	0.455057605
chr5	ENSG00000270906	RP11-475J5.6	99384692	99386066	1375	0.142	1.103	0.80288724	0.913019283
chr2	ENSG00000270898	ASB3	53897430	54087297	2340	-0.167	0.891	0.438490931	0.67528279
chr7	ENSG00000270823	hsa-mir-335	130135635	130138268	2634	0.567	1.482	0.006980927	0.043748113
chr2	ENSG00000270820	RP11-355B11.2	61698323	61711265	1963	-0.249	0.841	0.217139889	0.454752751
chr6	ENSG00000270800	RPS10-NUDT3	34256547	34393825	876	-0.178	0.884	0.440160565	0.676869135
chr20	ENSG00000270792	RP11-103J8.1	10653576	10975572	1279	-0.011	0.993	0.984693732	0.995051271
chr2	ENSG00000270757	HSPE1-MOB4	198365137	198415450	890	-0.044	0.97	0.823021017	0.922144361
chrX	ENSG00000270726	AJ271736.10	155233883	155255299	2131	0.32	1.248	0.251768188	0.494886571
chr2	ENSG00000270696	RP11-342K6.1	75887588	75889334	1747	-0.315	0.804	0.266754968	0.510852089
chrX	ENSG00000270641	TSIX	73012040	73049066	37027	-1.022	0.492	0.086063538	0.253803502
chr7	ENSG00000270617	URGCP-MRPS24	43906157	43946188	795	-0.024	0.983	0.892557611	0.95437613
chr16	ENSG00000270580	RP11-1186N24.5	15198580	15225458	3043	0.486	1.4	0.121628584	0.317242895
chr2	ENSG00000270571	RP11-355F16.1	75381492	75417075	3438	-0.573	0.672	0.198244167	0.430358236
chr6	ENSG00000270504	RP11-420L9.5	3751345	3754105	2761	-0.458	0.728	0.190249646	0.419533231
chr14	ENSG00000270503	RP11-407N17.6	39684269	39685539	1271	0.493	1.407	0.095829256	0.271930701
chr16	ENSG00000270466	1-Sep	30389755	30393863	1119	-0.738	0.6	0.046020236	0.167644478
chr20	ENSG00000270408	JAG1	10625847	10627014	568	-0.043	0.971	0.912247017	0.963050792
chr6	ENSG00000270362	HMGN3-AS1	79943435	79946514	2946	0.497	1.412	0.027378813	0.117425412
chr6	ENSG00000270346	RP1-90J20.12	3020388	3022984	2597	-0.248	0.842	0.469864393	0.699646334
chr10	ENSG00000270316	C10orf32-ASMT	104614029	104661656	2670	-0.049	0.967	0.834501032	0.927727544
chr20	ENSG00000270299	RP5-850E9.3	627270	656444	2714	0.185	1.137	0.304585186	0.552151282
chr7	ENSG00000270249	RP11-514P8.7	102181948	102232891	911	0.338	1.264	0.30984852	0.556755674
chr4	ENSG00000270228	RP11-453E17.3	68584714	68589980	2046	-0.075	0.949	0.803229706	0.913074194
chr3	ENSG00000270194	RP11-259K5.2	37283280	37285668	2389	0.138	1.1	0.657423386	0.833628977
chrX	ENSG00000270189	RP11-258C19.7	53198279	53200096	1818	-0.17	0.889	0.673425247	0.843868717
chr13	ENSG00000270181	BIVM-ERCC5	103459704	103524748	4155	0.04	1.028	0.836538483	0.928695929
chr1	ENSG00000270172	RP5-1024G6.8	53708036	53710212	2177	0.091	1.065	0.765482397	0.89252539
chr3	ENSG00000270170	NCBP2-AS2	196669494	196670411	918	0.081	1.058	0.706576857	0.862523292
chr7	ENSG00000270157	RP5-894A10.6	141362722	141363646	925	0.305	1.235	0.40457246	0.645135841
chr1	ENSG00000270149	RP11-544M22.13	160967747	161008752	2114	0.265	1.201	0.195255047	0.426466217
chr4	ENSG00000270147	RP11-646I6.6	57262478	57263037	560	-0.045	0.969	0.884130067	0.950482084
chr1	ENSG00000270136	MINOS1-NBL1	19923473	19984549	2493	-0.911	0.532	0.000318084	0.003560763
chr8	ENSG00000270132	WISP1-OT1	134241299	134241940	642	-5.81	0.018	6.71E-24	7.54E-22
chr15	ENSG00000270127	RP11-526I2.5	101087972	101090358	2387	0.299	1.23	0.3774327	0.62084194
chr12	ENSG00000270113	RP11-282O18.6	123773656	123774230	575	-0.02	0.987	0.955308462	0.981997935
chr1	ENSG00000270106	TSNAX-DISC1	231664399	231954990	3557	-0.136	0.91	0.559321834	0.767737418
chr13	ENSG00000270101	RP11-24B19.3	51936795	51937579	785	-0.467	0.723	0.206156095	0.440360971
chr1	ENSG00000270094	RP11-245P10.8	228581991	228584668	480	0.281	1.215	0.30857968	0.555499481
chr10	ENSG00000270087	RP11-399K21.11	77039484	77161004	564	0.068	1.048	0.799267859	0.910845409
chr1	ENSG00000270084	GAS5-AS1	173832386	173833079	694	-0.173	0.887	0.595225269	0.79276207
chr2	ENSG00000270081	RP5-935K16.1	128601127	128603261	2135	0.563	1.477	0.017941241	0.087010754
chr10	ENSG00000270075	RP11-127L20.5	106071899	106073639	244	-1.808	0.286	5.34E-05	0.0007458
chr8	ENSG00000270074	LINC00965	12270336	12271882	1547	0	1	0.999215746	0.999715826
chr1	ENSG00000270066	SCARNA2	109642815	109643241	427	0.254	1.192	0.802557473	0.912917371
chr15	ENSG00000270055	CTD-3092A11.2	30780166	30782516	2351	-0.189	0.877	0.581703039	0.783142975
chrX	ENSG00000270050	RP4-769N13.7	101854585	101914640	387	0.065	1.046	0.834248763	0.927599867
chr8	ENSG00000270024	C8orf44-SGK3	67579831	67772707	2970	-0.302	0.811	0.273768643	0.51927735
chr15	ENSG00000270015	RP11-540B6.6	31218717	31220610	1894	0.212	1.158	0.538384927	0.753470878
chr19	ENSG00000270011	ZNF559-ZNF177	9434850	9493293	4273	0.074	1.052	0.799553889	0.910998263
chr1	ENSG00000269996	RP11-343N15.5	121133256	121134581	1326	-0.627	0.647	0.060792744	0.201986315
chr11	ENSG00000269990	CTD-3074O7.12	66303369	66305407	2039	0.037	1.026	0.897653107	0.956328468
chr9	ENSG00000269988	RP11-395P17.11	130870860	130871604	745	-0.238	0.848	0.415156124	0.654300016
chr22	ENSG00000269987	RP3-430N8.11	31372501	31374834	546	0.066	1.047	0.757046332	0.888083136
chr3	ENSG00000269984	RP11-362K14.5	169494980	169498122	3143	-0.096	0.936	0.715523432	0.867670092
chr3	ENSG00000269982	RP11-1020A11.2	10000401	10004223	3823	0.535	1.449	0.088326643	0.258108325
chr2	ENSG00000269973	RP11-95D17.1	10076489	10079719	3231	0.285	1.218	0.359706833	0.605751155
chr22	ENSG00000269972	RP3-430N8.10	31373502	31373844	264	0.03	1.021	0.900107438	0.957305256
chr12	ENSG00000269968	RP5-940J5.9	6646960	6647536	422	0.058	1.041	0.791284045	0.906496827
chr6	ENSG00000269966	RP3-331H24.5	72004876	72127139	732	-0.535	0.69	0.1886205	0.417116524
chr14	ENSG00000269963	RP11-73M18.9	104179904	104180586	683	1.463	2.758	1.64E-05	0.000256962
chr14	ENSG00000269958	RP11-73M18.8	104162690	104163500	811	0.545	1.459	0.098800741	0.276974591
chr1	ENSG00000269956	MKNK1-AS1	47004368	47035927	2445	-0.269	0.83	0.360892083	0.606668258
chr7	ENSG00000269955	LUC7L2	139026106	139107345	1661	0.404	1.323	0.014164918	0.073856043
chrX	ENSG00000269941	RP5-1172N10.4	41092886	41093536	651	-0.503	0.706	0.147520185	0.357706625
chr14	ENSG00000269940	RP11-73M18.7	104160897	104161507	611	0.565	1.479	0.078570786	0.23927496
chr16	ENSG00000269937	RP11-20I23.8	2611472	2615097	3626	1.002	2.003	0.001462307	0.012834059
chr10	ENSG00000269926	RP11-442H21.2	74034673	74035738	847	-0.799	0.575	0.004944899	0.033709178
chr11	ENSG00000269915	AP006621.9	708564	727047	532	0.623	1.54	0.03548966	0.140469944
chr14	ENSG00000269910	RP11-73M18.10	104160853	104161387	535	0.616	1.532	0.058170452	0.19658204
chr3	ENSG00000269905	RP11-271K21.11	141663270	141666233	2964	0.413	1.331	0.051632063	0.181367451
chr9	ENSG00000269900	RMRP	35657748	35658015	268	0.246	1.186	0.806960205	0.915148314
chr10	ENSG00000269897	COMMD3-BMI1	22605317	22618471	1904	-0.159	0.896	0.38870096	0.631268722
chr1	ENSG00000269896	RP4-740C4.6	2281853	2284259	2407	0.228	1.171	0.508798579	0.730803835
chr4	ENSG00000269893	SNHG8	119199864	119200978	923	0.01	1.007	0.96582301	0.987421044
chr10	ENSG00000269891	ARHGAP19-SLIT1	98757795	99052413	11396	0.086	1.061	0.753228888	0.886039243
chr1	ENSG00000269890	RP5-1139B12.2	228458144	228462098	3955	0.659	1.579	0.165597094	0.385236995
chr3	ENSG00000269888	RP11-3P17.5	161146900	161147401	248	0.084	1.06	0.677421573	0.845460469
chr16	ENSG00000269881	ITFG3	299546	319942	2242	0.136	1.098	0.454592022	0.688288619
chr17	ENSG00000269871	AC040977.1	6915928	6917755	522	-0.05	0.966	0.765597714	0.892539907
chr19	ENSG00000269858	EGLN2	41304901	41314338	6577	0.257	1.195	0.132700358	0.335627182
chr19	ENSG00000269837	RP11-15H20.5	23437855	23440741	2887	0.491	1.405	0.049149003	0.175631133
chr19	ENSG00000269834	CTD-3018O17.3	52892095	52901019	4160	0.22	1.165	0.487666297	0.714502607
chr14	ENSG00000269832	AL627171.2	50291993	50293258	1266	-0.135	0.911	0.690104803	0.853299815
chr19	ENSG00000269825	CTD-3099C6.9	53153690	53156537	2848	0.92	1.892	0.006452087	0.041144918
chr11	ENSG00000269821	KCNQ1OT1	2629558	2721224	91667	0.677	1.599	0.009369593	0.054290621
chr19	ENSG00000269808	AC010327.2	55738587	55741647	3061	0.161	1.118	0.556565849	0.766044428
chr1	ENSG00000269804	AL353354.2	28527070	28527419	350	-0.048	0.967	0.833337214	0.927293163
chr19	ENSG00000269792	CTB-60E11.9	40023052	40025062	647	-0.1	0.933	0.76028797	0.889682183
chr7	ENSG00000269781	FLJ20306	6522922	6524873	1952	-0.417	0.749	0.08304153	0.2479184
chr19	ENSG00000269751	CTC-273B12.8	48983104	48985571	2468	0.968	1.956	0.00017264	0.00207214
chr19	ENSG00000269749	AC005614.5	40554664	40596832	461	0.263	1.2	0.36059384	0.606635153
chr19	ENSG00000269741	KLK9	51499274	51512837	1933	-0.373	0.772	0.07664159	0.235072536
chr9	ENSG00000269738	AL162424.1	125148344	125148928	87	0.668	1.589	0.100932498	0.280850218
chr3	ENSG00000269728	RP11-145M9.4	179113877	179115965	2089	-2.594	0.166	3.49E-10	1.12E-08
chr19	ENSG00000269711	CTD-3214H19.16	7743387	7747740	777	-0.189	0.877	0.369610633	0.614225913
chr19	ENSG00000269699	ZIM2	57285920	57352097	2834	-1.262	0.417	0.052497824	0.183334791
chr19	ENSG00000269693	CTD-2192J16.20	12636534	12691789	5857	-0.197	0.872	0.374651197	0.618752814
chr19	ENSG00000269680	CTD-3128G10.6	6748304	6751478	686	-0.181	0.882	0.58398589	0.784461261
chr17	ENSG00000269657	AC079210.1	66539369	66542970	3602	-1.124	0.459	0.001238828	0.01119487
chr19	ENSG00000269640	CTD-2521M24.9	17516503	17529713	2525	-0.322	0.8	0.305531613	0.552419333
chr5	ENSG00000269636	AC010441.1	150157867	150176297	1974	-1.357	0.39	3.68E-06	6.45E-05
chr1	ENSG00000269621	RP11-98D18.15	151728017	151732387	629	0.053	1.037	0.826492764	0.923476262
chr10	ENSG00000269609	RP11-18I14.10	104209574	104220863	5660	0.564	1.478	0.017850349	0.086777487
chr19	ENSG00000269604	AC005523.2	4791757	4795571	3572	0.179	1.132	0.324520947	0.571085767
chr11	ENSG00000269601	AP000758.1	120329880	120330047	168	0.036	1.025	0.913135392	0.963584803
chr19	ENSG00000269590	CTD-2192J16.24	12775642	12780211	585	-0.169	0.89	0.324228709	0.570845348
chr19	ENSG00000269583	L34079.4	44078790	44079770	546	0.503	1.418	0.072826831	0.22740374
chr4	ENSG00000269559	AC093677.1	75023327	75024085	759	0.034	1.024	0.921237641	0.966805158
chr1	ENSG00000269554	AL590822.2	2121237	2123179	1943	0.786	1.724	0.015173033	0.077466592
chr19	ENSG00000269547	CTC-360G5.8	39406044	39440495	1967	0.371	1.293	0.057734576	0.195480885
chr19	ENSG00000269545	CTD-3138B18.4	58740831	58798173	1463	0.369	1.291	0.174711518	0.398656898
chr19	ENSG00000269534	CTC-453G23.5	48621689	48630963	1009	0.447	1.363	0.122355722	0.31835909
chr19	ENSG00000269533	AC003002.6	57901252	57931362	1210	0.035	1.025	0.907293761	0.96050493
chr10	ENSG00000269515	AL137026.1	44873687	44878739	78	-2.987	0.126	1.49E-07	3.41E-06
chr1	ENSG00000269501	RP11-353N4.6	149575482	149616786	5057	0.139	1.101	0.620966021	0.810018047
chr19	ENSG00000269495	CTB-147C22.8	51453441	51466905	959	0.231	1.174	0.563547725	0.770461155
chr19	ENSG00000269487	CTB-174O21.2	47231860	47235957	562	0.414	1.333	0.107917008	0.293033927
chr19	ENSG00000269481	CTD-2521M24.6	17525066	17533133	691	0.41	1.328	0.21110196	0.446683109
chr19	ENSG00000269480	CTD-3032J10.3	17317947	17318819	629	0.401	1.32	0.19436798	0.425287482
chr19	ENSG00000269476	CTD-2583A14.9	58388133	58427959	1020	-0.148	0.902	0.615431794	0.806294971
chr19	ENSG00000269469	CTD-3148I10.9	49966009	49989488	675	0.056	1.039	0.845946679	0.93348008
chr19	ENSG00000269439	CTD-3131K8.2	17599799	17622698	1316	-0.095	0.937	0.739627157	0.880352735
chr21	ENSG00000269430	LRRC3DN	45879814	45882078	2265	0.124	1.089	0.742543951	0.882071224
chr19	ENSG00000269427	CTC-429P9.1	16741554	16754753	533	0.335	1.261	0.263220667	0.506636278
chr19	ENSG00000269416	CTB-175P5.4	23582035	23598877	3296	1.243	2.368	0.000691137	0.006806207
chr19	ENSG00000269410	CTB-60E11.4	39916575	39919055	2481	0.167	1.122	0.598941741	0.795213915
chr19	ENSG00000269404	SPIB	50922195	50934570	4281	-2.137	0.227	0.001263893	0.011369981
chr19	ENSG00000269403	CTD-2616J11.11	51853627	51871353	551	0.18	1.133	0.382654737	0.625542798
chr19	ENSG00000269386	RAB11B-AS1	8439257	8455569	1156	0.069	1.049	0.797026744	0.909443505
chr19	ENSG00000269378	ITGB1P1	14732446	14733054	609	-0.121	0.92	0.564624248	0.770826274
chr19	ENSG00000269374	CTB-50E14.5	42989228	42989866	639	0.431	1.348	0.145953859	0.355730402
chr19	ENSG00000269371	CTD-2207O23.11	7584802	7585346	293	-0.003	0.998	0.991303734	0.997282405
chr19	ENSG00000269352	AC018766.5	50360227	50362546	1023	0.142	1.103	0.409309347	0.648771946
chr19	ENSG00000269343	ZNF587B	58331099	58370018	4595	0.517	1.431	0.046764665	0.16970348
chr9	ENSG00000269337	AL591479.1	70646589	70648956	2368	0.063	1.045	0.846547807	0.933735173
chr19	ENSG00000269318	AC007292.3	4356634	4358445	1812	-0.075	0.949	0.798531465	0.910409867
chr19	ENSG00000269307	CTD-2278I10.6	17378227	17393775	1207	0.126	1.091	0.46327742	0.694954755
chr9	ENSG00000269295	AL358113.1	71869331	71869642	312	0.328	1.255	0.176693091	0.401353004
chr6	ENSG00000269293	ZSCAN16-AS1	28089573	28105071	2163	0.156	1.115	0.619986476	0.809374305
chr19	ENSG00000269292	CTB-12A17.3	47112534	47114036	296	0.022	1.016	0.90776863	0.960796116
chr19	ENSG00000269289	CTB-92J24.3	24101883	24140732	2233	0.647	1.566	0.064143232	0.209475767
chr19	ENSG00000269288	CTD-2245F17.6	53743928	53745166	337	-0.098	0.935	0.773412898	0.896600829
chr1	ENSG00000269279	AL136376.1	116915890	116926718	342	0.439	1.355	0.064544681	0.21014982
chr19	ENSG00000269243	CTD-2231E14.8	16234471	16250702	3927	0.156	1.114	0.357112776	0.603475619
chr19	ENSG00000269242	CTD-2192J16.22	12754645	12759211	838	-0.559	0.679	0.006003397	0.038993903
chr5	ENSG00000269215	AC008964.1	39105358	39107350	1993	-7.554	0.005	2.03E-13	9.22E-12
chr2	ENSG00000269210	AC019171.1	39186764	39187483	720	-0.705	0.614	0.09973021	0.278798311
chr19	ENSG00000269194	AC006942.4	50312190	50312995	520	-0.337	0.792	0.262088691	0.505650357
chr19	ENSG00000269190	FBXO17	39432044	39466550	4957	-0.069	0.953	0.786575854	0.903823782
chr19	ENSG00000269179	CTC-326K19.6	50412758	50461648	575	0.273	1.209	0.238011669	0.480671899
chr19	ENSG00000269177	L34079.3	44057597	44059646	561	0.355	1.279	0.21033337	0.445755579
chr11	ENSG00000269176	RP11-727F15.12	62553498	62554257	760	0.275	1.21	0.314149294	0.561455657
chr1	ENSG00000269175	AC093157.1	101455761	101457653	1893	-0.009	0.994	0.972681931	0.989840479
chr19	ENSG00000269151	AC007193.8	46893772	46894109	188	0.02	1.014	0.948882572	0.978803763
chr19	ENSG00000269148	AC092301.3	46333422	46334366	764	0.063	1.044	0.825288605	0.923036046
chr19	ENSG00000269139	CTD-3193O13.8	7990886	7991648	317	0.255	1.193	0.48203212	0.709947765
chr19	ENSG00000269131	AC004447.2	19101702	19104419	2416	0.643	1.562	0.004125963	0.029481464
chr1	ENSG00000269113	TRABD2B	48226200	48462567	7034	-2.038	0.243	0.005589721	0.03694694
chr19	ENSG00000269110	CTC-513N18.7	20736598	20844389	522	-0.048	0.967	0.871114439	0.94540128
chr19	ENSG00000269107	RP11-15H20.7	23440057	23457034	574	0.39	1.31	0.186064784	0.413622387
chr19	ENSG00000269095	AC010646.3	17346749	17366257	515	0.375	1.297	0.111158352	0.299285356
chr17	ENSG00000269094	AC006449.1	36884086	36884451	366	0.699	1.623	0.006655531	0.042104894
chr19	ENSG00000269091	CTD-2126E3.3	50546453	50554319	711	0.534	1.448	0.104338475	0.287014729
chr19	ENSG00000269082	CTD-2620I22.1	53459294	53484907	553	0.28	1.214	0.381452818	0.624315392
chr19	ENSG00000269069	CTC-471F3.5	40529291	40531409	2039	0.768	1.703	0.017838253	0.086742122
chr2	ENSG00000269068	RP11-256I23.2	220423805	220424348	544	0.268	1.204	0.411409442	0.650824691
chr19	ENSG00000269044	CTC-429P9.3	16744614	16746080	1467	0.613	1.529	0.064243958	0.209587903
chr19	ENSG00000269035	CTD-2521M24.10	17547420	17571613	892	0.832	1.78	0.029826694	0.124510877
chr3	ENSG00000269028	MTRNR2L12	96335981	96337000	1020	0.229	1.172	0.443001947	0.679169441
chr19	ENSG00000269026	AC003006.7	58193413	58264943	833	0.374	1.296	0.271631709	0.516780977
chr11	ENSG00000269018	AP001362.1	65358665	65359947	783	-0.386	0.765	0.240640191	0.483355431
chr19	ENSG00000268983	AC005253.4	18679316	18680185	432	0.119	1.086	0.595601992	0.792843374
chr19	ENSG00000268975	MIA-RAB4B	41277553	41292590	1229	-0.305	0.809	0.263194143	0.506636278
chr1	ENSG00000268950	AC114494.1	31902192	31902614	423	0.113	1.082	0.71449503	0.867129483
chr16	ENSG00000268927	FLJ00418	70695570	70699739	4170	0.432	1.349	0.049149775	0.175631133
chr19	ENSG00000268895	A1BG-AS1	58859117	58866549	2793	0.145	1.105	0.616330388	0.806883151
chr1	ENSG00000268869	ESPNP	17013834	17046652	3178	0.778	1.715	0.040492862	0.153799359
chr12	ENSG00000268865	AC026310.1	25055243	25057615	2373	0.091	1.065	0.865929019	0.942858564
chr16	ENSG00000268863	AC135048.1	30996808	30997533	726	-0.3	0.812	0.320386813	0.567415108
chr19	ENSG00000268861	CTD-2207O23.3	7445850	7535131	3342	0.32	1.249	0.146308948	0.356231929
chr20	ENSG00000268858	C20ORF135	62492879	62493217	339	0.113	1.082	0.7379125	0.87947316
chr2	ENSG00000268857	AC011308.1	157352597	157352655	42	0.021	1.015	0.957951039	0.983534301
chr19	ENSG00000268854	CTD-2545M3.2	50983376	50986608	375	-0.026	0.982	0.891851798	0.95437613
chr2	ENSG00000268846	AC018867.2	187367219	187367356	138	-0.078	0.948	0.771826263	0.89615755
chr5	ENSG00000268800	AC112205.1	162866447	162873821	99	-0.178	0.884	0.509376423	0.73124556
chr19	ENSG00000268797	CTC-490E21.12	41307202	41404187	575	0.2	1.149	0.467891509	0.698515046
chr19	ENSG00000268790	CTC-429P9.4	16688453	16770926	1184	0.16	1.117	0.421934149	0.660034017
chr4	ENSG00000268788	AC110615.1	76871883	76878526	282	-0.167	0.89	0.519597539	0.738844457
chr19	ENSG00000268784	MGC2752	59093391	59093976	586	-0.306	0.809	0.287725342	0.534216862
chr19	ENSG00000268750	CTD-2583A14.10	58331087	58370309	1159	0.696	1.62	0.053636832	0.185905197
chr19	ENSG00000268739	CTC-518B2.12	51517630	51517990	240	0.063	1.044	0.867793222	0.943718658
chr19	ENSG00000268713	CTC-444N24.8	57772722	57774106	1385	-0.063	0.958	0.854088838	0.937343338
chr14	ENSG00000268702	AL049829.1	23790839	23791484	279	0.472	1.387	0.005601949	0.037000832
chr19	ENSG00000268686	AC010524.2	49871962	49891338	3263	0.196	1.145	0.558711716	0.767471461
chr19	ENSG00000268658	LINC00664	21666176	21686040	5889	1.013	2.018	0.001929565	0.01616235
chr19	ENSG00000268643	AC006486.9	42738735	42759284	634	0.247	1.187	0.190460222	0.419637559
chr11	ENSG00000268635	DKFZP434E1119	77184416	77188074	3659	0.276	1.21	0.425807942	0.664136766
chr19	ENSG00000268621	AC006262.5	46692423	46706340	1751	0.671	1.592	0.073043058	0.227841661
chr19	ENSG00000268614	CTD-2207O23.10	7598481	7604945	942	-0.051	0.965	0.85357531	0.937163707
chr6	ENSG00000268592	RP11-244K5.8	150183733	150240643	2107	-0.293	0.816	0.469621141	0.699646334
chr1	ENSG00000268575	RP1-283E3.8	1634175	1669127	5079	0.609	1.525	0.006639455	0.04203275
chr18	ENSG00000268573	RP11-158H5.7	32860831	32870165	4382	0.295	1.227	0.486526931	0.713821458
chr19	ENSG00000268568	AC007228.9	57183942	57185269	1328	-0.216	0.861	0.492513932	0.717980122
chr19	ENSG00000268565	AC005339.2	4654976	4655536	392	0.187	1.138	0.595163257	0.79276207
chr1	ENSG00000268552	AL109927.1	28177085	28177255	171	-0.075	0.95	0.788138226	0.904810041
